x,y,velocity,orientation
0.0,160.0,0,0
1.0,162.0,2.23606797749979,1.1071487177940904
3.0,163.0,2.23606797749979,0.4636476090008061
5.0,165.0,2.8284271247461903,0.7853981633974483
7.0,166.0,2.23606797749979,0.4636476090008061
9.0,168.0,2.8284271247461903,0.7853981633974483
11.0,170.0,2.8284271247461903,0.7853981633974483
13.0,171.0,2.23606797749979,0.4636476090008061
15.0,173.0,2.8284271247461903,0.7853981633974483
17.0,174.0,2.23606797749979,0.4636476090008061
19.0,176.0,2.8284271247461903,0.7853981633974483
21.0,178.0,2.8284271247461903,0.7853981633974483
23.0,179.0,2.23606797749979,0.4636476090008061
25.0,181.0,2.8284271247461903,0.7853981633974483
27.0,183.0,2.8284271247461903,0.7853981633974483
29.0,184.0,2.23606797749979,0.4636476090008061
31.0,186.0,2.8284271247461903,0.7853981633974483
33.0,187.0,2.23606797749979,0.4636476090008061
35.0,189.0,2.8284271247461903,0.7853981633974483
37.0,191.0,2.8284271247461903,0.7853981633974483
39.0,192.0,2.23606797749979,0.4636476090008061
41.0,194.0,2.8284271247461903,0.7853981633974483
43.0,195.0,2.23606797749979,0.4636476090008061
45.0,197.0,2.8284271247461903,0.7853981633974483
47.0,199.0,2.8284271247461903,0.7853981633974483
49.0,200.0,2.23606797749979,0.4636476090008061
51.0,202.0,2.8284271247461903,0.7853981633974483
53.0,203.0,2.23606797749979,0.4636476090008061
55.0,205.0,2.8284271247461903,0.7853981633974483
57.0,207.0,2.8284271247461903,0.7853981633974483
59.0,208.0,2.23606797749979,0.4636476090008061
61.0,210.0,2.8284271247461903,0.7853981633974483
63.0,211.0,2.23606797749979,0.4636476090008061
65.0,213.0,2.8284271247461903,0.7853981633974483
67.0,215.0,2.8284271247461903,0.7853981633974483
69.0,216.0,2.23606797749979,0.4636476090008061
71.0,218.0,2.8284271247461903,0.7853981633974483
73.0,219.0,2.23606797749979,0.4636476090008061
75.0,221.0,2.8284271247461903,0.7853981633974483
77.0,222.0,2.23606797749979,0.4636476090008061
79.0,224.0,2.8284271247461903,0.7853981633974483
81.0,226.0,2.8284271247461903,0.7853981633974483
83.0,227.0,2.23606797749979,0.4636476090008061
85.0,229.0,2.8284271247461903,0.7853981633974483
87.0,230.0,2.23606797749979,0.4636476090008061
89.0,232.0,2.8284271247461903,0.7853981633974483
91.0,233.0,2.23606797749979,0.4636476090008061
93.0,235.0,2.8284271247461903,0.7853981633974483
95.0,237.0,2.8284271247461903,0.7853981633974483
97.0,238.0,2.23606797749979,0.4636476090008061
99.0,240.0,2.8284271247461903,0.7853981633974483
101.0,241.0,2.23606797749979,0.4636476090008061
103.0,243.0,2.8284271247461903,0.7853981633974483
105.0,244.0,2.23606797749979,0.4636476090008061
107.0,246.0,2.8284271247461903,0.7853981633974483
109.0,247.0,2.23606797749979,0.4636476090008061
111.0,249.0,2.8284271247461903,0.7853981633974483
113.0,250.0,2.23606797749979,0.4636476090008061
115.0,252.0,2.8284271247461903,0.7853981633974483
117.0,253.0,2.23606797749979,0.4636476090008061
119.0,255.0,2.8284271247461903,0.7853981633974483
121.0,256.0,2.23606797749979,0.4636476090008061
123.0,258.0,2.8284271247461903,0.7853981633974483
125.0,260.0,2.8284271247461903,0.7853981633974483
127.0,261.0,2.23606797749979,0.4636476090008061
129.0,263.0,2.8284271247461903,0.7853981633974483
131.0,264.0,2.23606797749979,0.4636476090008061
133.0,266.0,2.8284271247461903,0.7853981633974483
135.0,267.0,2.23606797749979,0.4636476090008061
137.0,269.0,2.8284271247461903,0.7853981633974483
139.0,270.0,2.23606797749979,0.4636476090008061
141.0,272.0,2.8284271247461903,0.7853981633974483
143.0,273.0,2.23606797749979,0.4636476090008061
145.0,275.0,2.8284271247461903,0.7853981633974483
147.0,276.0,2.23606797749979,0.4636476090008061
149.0,278.0,2.8284271247461903,0.7853981633974483
151.0,279.0,2.23606797749979,0.4636476090008061
153.0,281.0,2.8284271247461903,0.7853981633974483
155.0,282.0,2.23606797749979,0.4636476090008061
157.0,284.0,2.8284271247461903,0.7853981633974483
159.0,285.0,2.23606797749979,0.4636476090008061
161.0,287.0,2.8284271247461903,0.7853981633974483
163.0,288.0,2.23606797749979,0.4636476090008061
165.0,290.0,2.8284271247461903,0.7853981633974483
167.0,291.0,2.23606797749979,0.4636476090008061
169.0,293.0,2.8284271247461903,0.7853981633974483
171.0,294.0,2.23606797749979,0.4636476090008061
173.0,295.0,2.23606797749979,0.4636476090008061
175.0,297.0,2.8284271247461903,0.7853981633974483
177.0,298.0,2.23606797749979,0.4636476090008061
179.0,300.0,2.8284271247461903,0.7853981633974483
181.0,301.0,2.23606797749979,0.4636476090008061
183.0,303.0,2.8284271247461903,0.7853981633974483
185.0,304.0,2.23606797749979,0.4636476090008061
187.0,306.0,2.8284271247461903,0.7853981633974483
189.0,307.0,2.23606797749979,0.4636476090008061
191.0,308.0,2.23606797749979,0.4636476090008061
193.0,310.0,2.8284271247461903,0.7853981633974483
195.0,311.0,2.23606797749979,0.4636476090008061
197.0,313.0,2.8284271247461903,0.7853981633974483
199.0,314.0,2.23606797749979,0.4636476090008061
201.0,316.0,2.8284271247461903,0.7853981633974483
203.0,317.0,2.23606797749979,0.4636476090008061
205.0,318.0,2.23606797749979,0.4636476090008061
207.0,320.0,2.8284271247461903,0.7853981633974483
209.0,321.0,2.23606797749979,0.4636476090008061
211.0,323.0,2.8284271247461903,0.7853981633974483
213.0,324.0,2.23606797749979,0.4636476090008061
215.0,325.0,2.23606797749979,0.4636476090008061
217.0,327.0,2.8284271247461903,0.7853981633974483
219.0,328.0,2.23606797749979,0.4636476090008061
221.0,329.0,2.23606797749979,0.4636476090008061
223.0,331.0,2.8284271247461903,0.7853981633974483
225.0,332.0,2.23606797749979,0.4636476090008061
227.0,334.0,2.8284271247461903,0.7853981633974483
229.0,335.0,2.23606797749979,0.4636476090008061
231.0,336.0,2.23606797749979,0.4636476090008061
233.0,338.0,2.8284271247461903,0.7853981633974483
235.0,339.0,2.23606797749979,0.4636476090008061
237.0,340.0,2.23606797749979,0.4636476090008061
239.0,342.0,2.8284271247461903,0.7853981633974483
241.0,343.0,2.23606797749979,0.4636476090008061
243.0,344.0,2.23606797749979,0.4636476090008061
245.0,346.0,2.8284271247461903,0.7853981633974483
247.0,347.0,2.23606797749979,0.4636476090008061
249.0,348.0,2.23606797749979,0.4636476090008061
251.0,349.0,2.23606797749979,0.4636476090008061
253.0,351.0,2.8284271247461903,0.7853981633974483
255.0,352.0,2.23606797749979,0.4636476090008061
257.0,353.0,2.23606797749979,0.4636476090008061
259.0,355.0,2.8284271247461903,0.7853981633974483
261.0,356.0,2.23606797749979,0.4636476090008061
263.0,357.0,2.23606797749979,0.4636476090008061
265.0,358.0,2.23606797749979,0.4636476090008061
267.0,360.0,2.8284271247461903,0.7853981633974483
269.0,361.0,2.23606797749979,0.4636476090008061
271.0,362.0,2.23606797749979,0.4636476090008061
