[559.0, 278.0]
[561.0, 278.0]
[563.0, 277.0]
[565.0, 276.0]
[567.0, 276.0]
[569.0, 275.0]
[571.0, 274.0]
[573.0, 274.0]
[575.0, 273.0]
[577.0, 272.0]
[579.0, 272.0]
[581.0, 271.0]
[583.0, 270.0]
[585.0, 270.0]
[587.0, 269.0]
[589.0, 268.0]
[591.0, 268.0]
[593.0, 267.0]
[595.0, 266.0]
[597.0, 266.0]
[599.0, 265.0]
[601.0, 264.0]
[603.0, 264.0]
[605.0, 263.0]
[607.0, 262.0]
[609.0, 262.0]
[611.0, 261.0]
[613.0, 261.0]
[615.0, 260.0]
[617.0, 259.0]
[619.0, 259.0]
[621.0, 258.0]
[623.0, 257.0]
[625.0, 257.0]
[627.0, 256.0]
[629.0, 256.0]
[631.0, 255.0]
[633.0, 254.0]
[635.0, 254.0]
[637.0, 253.0]
[639.0, 253.0]
[641.0, 252.0]
[643.0, 251.0]
[645.0, 251.0]
[647.0, 250.0]
[649.0, 250.0]
[651.0, 249.0]
[653.0, 248.0]
[655.0, 248.0]
[657.0, 247.0]
[659.0, 247.0]
[661.0, 246.0]
[663.0, 246.0]
[665.0, 245.0]
[667.0, 244.0]
[669.0, 244.0]
[671.0, 243.0]
[673.0, 243.0]
[675.0, 242.0]
[677.0, 241.0]
[679.0, 241.0]
[681.0, 240.0]
[683.0, 240.0]
[685.0, 239.0]
[687.0, 239.0]
[689.0, 238.0]
[691.0, 238.0]
[693.0, 237.0]
[695.0, 237.0]
[697.0, 236.0]
[699.0, 235.0]
[701.0, 235.0]
[703.0, 234.0]
[705.0, 234.0]
[707.0, 233.0]
[709.0, 233.0]
[711.0, 232.0]
[713.0, 232.0]
[715.0, 231.0]
[717.0, 231.0]
[719.0, 230.0]
[721.0, 229.0]
[723.0, 229.0]
[725.0, 228.0]
[727.0, 228.0]
[729.0, 227.0]
[731.0, 227.0]
[733.0, 226.0]
[735.0, 226.0]
[737.0, 225.0]
[739.0, 225.0]
[741.0, 224.0]
[743.0, 224.0]
[745.0, 223.0]
[747.0, 223.0]
[749.0, 222.0]
[751.0, 222.0]
[753.0, 221.0]
[755.0, 221.0]
[757.0, 220.0]
[759.0, 220.0]
[761.0, 219.0]
[763.0, 219.0]
[765.0, 218.0]
[767.0, 218.0]
[769.0, 217.0]
[771.0, 217.0]
[773.0, 216.0]
[775.0, 216.0]
[777.0, 215.0]
[779.0, 215.0]
[781.0, 214.0]
[783.0, 214.0]
[785.0, 213.0]
[787.0, 213.0]
[789.0, 212.0]
[791.0, 212.0]
[793.0, 211.0]
[795.0, 210.0]
[797.0, 210.0]
[799.0, 210.0]
[801.0, 209.0]
[803.0, 209.0]
[805.0, 208.0]
[807.0, 208.0]
[809.0, 207.0]
[811.0, 207.0]
[813.0, 206.0]
[815.0, 206.0]
[817.0, 205.0]
[819.0, 205.0]
[821.0, 204.0]
[823.0, 204.0]
[825.0, 203.0]
[827.0, 203.0]
[829.0, 202.0]
[831.0, 202.0]
[833.0, 201.0]
[835.0, 201.0]
[837.0, 200.0]
[839.0, 200.0]
[841.0, 200.0]
[843.0, 199.0]
[845.0, 199.0]
[847.0, 198.0]
[849.0, 198.0]
[851.0, 197.0]
[853.0, 197.0]
[855.0, 196.0]
[857.0, 196.0]
[859.0, 195.0]
[861.0, 195.0]
[863.0, 194.0]
[865.0, 194.0]
[867.0, 193.0]
[869.0, 193.0]
[871.0, 192.0]
[873.0, 193.0]
[873.0, 195.0]
[875.0, 194.0]
[877.0, 193.0]
[879.0, 191.0]
[879.0, 190.0]
