       X        Y   Velocity Heading(deg)
   110.0    370.0       1.00         35.6
   111.6    371.2       1.00         35.8
   113.2    372.3       1.00         36.2
   114.9    373.5       1.00         36.5
   116.5    374.7       1.00         36.8
   118.1    375.9       1.00         37.0
   119.7    377.1       1.00         37.1
   121.3    378.3       1.00         37.3
   122.9    379.6       1.00         37.4
   124.4    380.8       1.00         37.5
   126.0    382.0       1.00         37.6
   127.6    383.2       1.00         37.7
   129.2    384.5       1.00         37.8
   130.8    385.7       1.00         37.8
   132.4    386.9       1.00         37.9
   133.9    388.1       1.00         37.9
   135.5    389.4       1.00         38.0
   137.1    390.6       1.00         38.0
   138.7    391.8       1.00         38.1
   140.3    393.1       1.00         38.1
   141.8    394.3       1.00         38.1
   143.4    395.6       1.00         38.2
   145.0    396.8       1.00         38.2
   146.6    398.0       1.00         38.2
   148.1    399.3       1.00         38.2
   149.7    400.5       1.00         38.2
   151.3    401.7       1.00         38.3
   152.9    403.0       1.00         38.3
   154.4    404.2       1.00         38.3
   156.0    405.5       1.00         38.3
   157.6    406.7       1.00         38.3
   159.1    408.0       1.00         38.3
   160.7    409.2       1.00         38.3
   162.3    410.4       1.00         38.3
   163.9    411.7       1.00         38.3
   165.4    412.9       1.00         38.3
   167.0    414.2       1.00         38.3
   168.6    415.4       1.00         38.3
   170.1    416.6       1.00         38.3
   171.7    417.9       1.00         38.3
   173.3    419.1       1.00         38.3
   174.9    420.4       1.00         38.3
   176.4    421.6       1.00         38.3
   178.0    422.8       1.00         38.3
   179.6    424.1       1.00         38.2
   181.2    425.3       1.00         38.2
   182.7    426.6       1.00         38.2
   184.3    427.8       1.00         38.2
   185.9    429.0       1.00         38.2
   187.4    430.3       1.00         38.2
   189.0    431.5       1.00         38.2
   190.6    432.8       1.00         38.2
   192.2    434.0       1.00         38.1
   193.7    435.2       1.00         38.1
   195.3    436.5       1.00         38.1
   196.9    437.7       1.00         38.1
   198.5    438.9       1.00         38.1
   200.1    440.2       1.00         38.0
   201.6    441.4       1.00         38.0
   203.2    442.6       1.00         38.0
   204.8    443.9       1.00         38.0
   206.4    445.1       1.00         38.0
   207.9    446.3       1.00         37.9
   209.5    447.6       1.00         37.9
   211.1    448.8       1.00         37.9
   212.7    450.0       1.00         37.9
   214.3    451.3       1.00         37.8
   215.9    452.5       1.00         37.8
   217.4    453.7       1.00         37.8
   219.0    454.9       1.00         37.7
   220.6    456.2       1.00         37.7
   222.2    457.4       1.00         37.7
   223.8    458.6       1.00         37.6
   225.4    459.8       1.00         37.6
   226.9    461.1       1.00         37.6
   228.5    462.3       1.00         37.5
   230.1    463.5       1.00         37.5
   231.7    464.7       1.00         37.5
   233.3    465.9       1.00         37.4
   234.9    467.1       1.00         37.4
   236.5    468.4       1.00         37.3
   238.1    469.6       1.00         37.3
   239.7    470.8       1.00         37.3
   241.3    472.0       1.00         37.2
   242.9    473.2       1.00         37.2
   244.5    474.4       1.00         37.1
   246.1    475.6       1.00         37.1
   247.7    476.8       1.00         37.0
   249.3    478.0       1.00         37.0
   250.9    479.2       1.00         36.9
   252.5    480.4       1.00         36.8
   254.1    481.6       1.00         36.8
   255.7    482.8       1.00         36.7
   257.3    484.0       1.00         36.7
   258.9    485.2       1.00         36.6
   260.5    486.4       1.00         36.5
   262.1    487.6       1.00         36.5
   263.7    488.8       1.00         36.4
   265.3    490.0       1.00         36.3
   266.9    491.2       1.00         36.3
   268.6    492.4       1.00         36.2
   270.2    493.6       1.00         36.1
   271.8    494.7       1.00         36.0
   273.4    495.9       1.00         35.9
   275.0    497.1       1.00         35.9
   276.7    498.3       1.00         35.8
   278.3    499.4       1.00         35.7
   279.9    500.6       1.00         35.6
   281.5    501.8       1.00         35.5
   283.2    502.9       1.00         35.4
   284.8    504.1       1.00         35.3
   286.4    505.2       1.00         35.1
   288.1    506.4       1.00         35.0
   289.7    507.5       1.00         34.9
   291.4    508.7       1.00         34.8
   293.0    509.8       1.00         34.6
   294.7    510.9       1.00         34.5
   296.3    512.1       1.00         34.3
   298.0    513.2       1.00         34.2
   299.6    514.3       1.00         34.0
   301.3    515.5       1.00         33.8
   303.0    516.6       1.00         33.7
   304.6    517.7       1.00         33.5
   306.3    518.8       1.00         33.2
   308.0    519.9       1.00         33.0
   309.7    521.0       1.00         32.8
   311.3    522.0       1.00         32.5
   313.0    523.1       1.00         32.3
   314.7    524.2       1.00         32.0
   316.4    525.2       1.00         31.7
   318.1    526.3       1.00         31.3
   319.9    527.3       1.00         31.0
   321.6    528.3       1.00         30.5
   323.3    529.3       1.00         30.1
   325.0    530.3       1.00         29.6
   326.8    531.3       1.00         29.1
   328.5    532.3       1.00         28.5
   330.3    533.2       1.00         27.8
   332.1    534.2       1.00         27.0
   333.9    535.1       1.00         26.1
   335.7    535.9       1.00         25.0
   337.5    536.7       1.00         23.7
   339.4    537.5       1.00         22.1
   341.2    538.3       1.00         20.1
   343.1    538.9       1.00         17.5
   345.0    539.5       1.00         13.9
   347.0    539.9       1.00          8.4
   349.0    540.0       0.99         -1.6
   351.0    539.8       0.97        -21.0
   352.6    538.7       0.99        -41.4
   353.9    537.1       1.00        -53.3
   355.0    535.5       1.00        -60.0
   355.9    533.7       1.00        -64.3
   356.7    531.8       1.00        -67.2
   357.5    530.0       1.00        -69.4
   358.2    528.1       1.00        -71.1
   358.8    526.2       1.00        -72.4
   359.4    524.3       1.00        -73.6
   359.9    522.3       1.00        -74.5
   360.4    520.4       1.00        -75.3
   360.9    518.5       1.00        -75.9
   361.4    516.5       1.00        -76.5
   361.9    514.6       1.00        -77.0
   362.3    512.6       1.00        -77.5
   362.7    510.7       1.00        -77.9
   363.1    508.7       1.00        -78.3
   363.5    506.7       1.00        -78.6
   363.9    504.8       1.00        -78.9
   364.3    502.8       1.00        -79.2
   364.7    500.8       1.00        -79.4
   365.1    498.9       1.00        -79.6
   365.4    496.9       1.00        -79.8
   365.8    494.9       1.00        -80.0
   366.1    493.0       1.00        -80.2
   366.4    491.0       1.00        -80.4
   366.8    489.0       1.00        -80.5
   367.1    487.0       1.00        -80.6
   367.4    485.1       1.00        -80.8
   367.7    483.1       1.00        -80.9
   368.1    481.1       1.00        -81.0
   368.4    479.1       1.00        -81.1
   368.7    477.1       1.00        -81.2
   369.0    475.2       1.00        -81.2
   369.3    473.2       1.00        -81.3
   369.6    471.2       1.00        -81.4
   369.9    469.2       1.00        -81.4
   370.2    467.2       1.00        -81.5
   370.5    465.3       1.00        -81.5
   370.8    463.3       1.00        -81.5
   371.1    461.3       1.00        -81.6
   371.4    459.3       1.00        -81.6
   371.7    457.3       1.00        -81.6
   372.0    455.4       1.00        -81.6
   372.2    453.4       1.00        -81.7
   372.5    451.4       1.00        -81.7
   372.8    449.4       1.00        -81.7
   373.1    447.4       1.00        -81.7
   373.4    445.4       1.00        -81.7
   373.7    443.5       1.00        -81.6
   374.0    441.5       1.00        -81.6
   374.3    439.5       1.00        -81.6
   374.6    437.5       1.00        -81.6
   374.9    435.5       1.00        -81.5
   375.2    433.6       1.00        -81.5
   375.5    431.6       1.00        -81.5
   375.8    429.6       1.00        -81.4
   376.1    427.6       1.00        -81.4
   376.4    425.6       1.00        -81.3
   376.7    423.7       1.00        -81.3
   377.0    421.7       1.00        -81.2
   377.3    419.7       1.00        -81.1
   377.6    417.7       1.00        -81.0
   377.9    415.7       1.00        -81.0
   378.2    413.8       1.00        -80.9
   378.5    411.8       1.00        -80.8
   378.9    409.8       1.00        -80.7
   379.2    407.8       1.00        -80.6
   379.5    405.9       1.00        -80.4
   379.9    403.9       1.00        -80.3
   380.2    401.9       1.00        -80.2
   380.5    399.9       1.00        -80.0
   380.9    398.0       1.00        -79.9
   381.2    396.0       1.00        -79.7
   381.6    394.0       1.00        -79.5
   382.0    392.1       1.00        -79.3
   382.3    390.1       1.00        -79.1
   382.7    388.1       1.00        -78.9
   383.1    386.2       1.00        -78.7
   383.5    384.2       1.00        -78.4
   383.9    382.2       1.00        -78.2
   384.3    380.3       1.00        -77.9
   384.8    378.3       1.00        -77.6
   385.2    376.4       1.00        -77.2
   385.6    374.4       1.00        -76.8
   386.1    372.5       1.00        -76.4
   386.6    370.5       1.00        -76.0
   387.1    368.6       1.00        -75.5
   387.6    366.6       1.00        -75.0
   388.1    364.7       1.00        -74.4
   388.7    362.8       1.00        -73.7
   389.2    360.9       1.00        -73.0
   389.8    358.9       1.00        -72.2
   390.5    357.0       1.00        -71.2
   391.1    355.2       1.00        -70.1
   391.8    353.3       1.00        -68.9
   392.6    351.4       1.00        -67.3
   393.4    349.6       1.00        -65.5
   394.2    347.8       1.00        -63.3
   395.2    346.0       1.00        -60.5
   396.2    344.3       1.00        -56.8
   397.4    342.7       1.00        -51.7
   398.7    341.1       1.00        -44.6
   400.2    339.8       1.00        -37.7
   401.8    338.7       1.00        -33.9
   403.5    337.6       1.00        -32.1
   405.2    336.6       1.00        -30.6
   407.0    335.6       1.00        -29.4
   408.7    334.6       1.00        -28.3
   410.5    333.7       1.00        -27.4
   412.3    332.8       1.00        -26.6
   414.1    331.9       1.00        -25.9
   415.9    331.0       1.00        -25.2
   417.7    330.2       1.00        -24.7
   419.5    329.3       1.00        -24.1
   421.4    328.5       1.00        -23.7
   423.2    327.7       1.00        -23.2
   425.0    327.0       1.00        -22.8
   426.9    326.2       1.00        -22.5
   428.7    325.4       1.00        -22.1
   430.6    324.7       1.00        -21.8
   432.5    323.9       1.00        -21.5
   434.3    323.2       1.00        -21.2
   436.2    322.5       1.00        -21.0
   438.1    321.8       1.00        -20.7
   439.9    321.1       1.00        -20.5
   441.8    320.4       1.00        -20.3
   443.7    319.7       1.00        -20.1
   445.6    319.0       1.00        -19.9
   447.5    318.3       1.00        -19.7
   449.4    317.6       1.00        -19.5
   451.2    317.0       1.00        -19.3
   453.1    316.3       1.00        -19.2
   455.0    315.7       1.00        -19.0
   456.9    315.0       1.00        -18.9
   458.8    314.4       1.00        -18.7
   460.7    313.7       1.00        -18.6
   462.6    313.1       1.00        -18.5
   464.5    312.5       1.00        -18.3
   466.4    311.8       1.00        -18.2
   468.3    311.2       1.00        -18.1
   470.2    310.6       1.00        -18.0
   472.1    310.0       1.00        -17.9
   474.0    309.4       1.00        -17.8
   475.9    308.7       1.00        -17.7
   477.9    308.1       1.00        -17.6
   479.8    307.5       1.00        -17.5
   481.7    306.9       1.00        -17.4
   483.6    306.3       1.00        -17.3
   485.5    305.7       1.00        -17.2
   487.4    305.2       1.00        -17.1
   489.3    304.6       1.00        -17.1
   491.2    304.0       1.00        -17.0
   493.2    303.4       1.00        -16.9
   495.1    302.8       1.00        -16.8
