       X        Y   Velocity Heading(deg)
   269.2    559.7       1.00        -86.5
   269.4    557.7       1.00        -86.1
   269.5    555.7       1.00        -85.6
   269.7    553.7       1.00        -85.1
   269.9    551.7       1.00        -84.7
   270.0    549.7       1.00        -84.2
   270.3    547.7       1.00        -83.7
   270.5    545.7       1.00        -83.2
   270.7    543.7       1.00        -82.7
   271.0    541.8       1.00        -82.0
   271.3    539.8       1.00        -81.3
   271.6    537.8       1.00        -80.4
   272.0    535.8       1.00        -79.3
   272.3    533.9       1.00        -78.0
   272.8    531.9       1.00        -76.1
   273.3    530.0       1.00        -73.2
   273.9    528.1       1.00        -67.9
   274.8    526.3       0.99        -58.7
   276.0    524.7       1.00        -51.6
   277.3    523.2       1.00        -49.6
   278.6    521.6       1.00        -48.5
   279.9    520.2       1.00        -47.6
   281.3    518.7       1.00        -47.0
   282.7    517.2       1.00        -46.5
   284.0    515.8       1.00        -46.1
   285.4    514.4       1.00        -45.7
   286.8    512.9       1.00        -45.3
   288.3    511.5       1.00        -45.0
   289.7    510.1       1.00        -44.7
   291.1    508.7       1.00        -44.4
   292.5    507.3       1.00        -44.1
   294.0    505.9       1.00        -43.9
   295.4    504.5       1.00        -43.6
   296.9    503.2       1.00        -43.3
   298.3    501.8       1.00        -43.1
   299.8    500.4       1.00        -42.8
   301.3    499.1       1.00        -42.6
   302.7    497.7       1.00        -42.3
   304.2    496.4       1.00        -42.0
   305.7    495.0       1.00        -41.8
   307.2    493.7       1.00        -41.5
   308.7    492.4       1.00        -41.2
   310.2    491.1       1.00        -40.9
   311.7    489.8       1.00        -40.6
   313.2    488.5       1.00        -40.2
   314.8    487.2       1.00        -39.8
   316.3    485.9       1.00        -39.4
   317.9    484.6       1.00        -39.0
   319.4    483.4       1.00        -38.6
   321.0    482.1       1.00        -38.0
   322.6    480.9       1.00        -37.5
   324.2    479.7       1.00        -36.8
   325.8    478.5       1.00        -36.1
   327.4    477.4       1.00        -35.3
   329.0    476.2       1.00        -34.3
   330.7    475.1       1.00        -33.1
   332.4    474.0       1.00        -31.6
   334.1    473.0       1.00        -29.7
   335.9    472.1       1.00        -27.1
   337.7    471.2       1.00        -23.3
   339.5    470.5       1.00        -16.8
   341.5    470.0       0.99         -5.9
   343.5    470.1       1.00          4.0
   345.5    470.3       1.00          8.9
   347.4    470.7       1.00         11.7
   349.4    471.1       1.00         13.5
   351.3    471.6       1.00         14.9
   353.3    472.1       1.00         15.9
   355.2    472.7       1.00         16.8
   357.1    473.3       1.00         17.5
   359.0    473.9       1.00         18.2
   360.9    474.6       1.00         18.7
   362.8    475.2       1.00         19.2
   364.7    475.9       1.00         19.7
   366.5    476.5       1.00         20.1
   368.4    477.2       1.00         20.5
   370.3    477.9       1.00         20.8
   372.2    478.7       1.00         21.2
   374.0    479.4       1.00         21.5
   375.9    480.1       1.00         21.8
