       X        Y   Velocity Heading(deg)
   260.0    235.0       1.00        -92.1
   259.9    233.0       1.00        -92.8
   259.8    231.0       1.00        -93.5
   259.7    229.0       1.00        -93.5
   259.6    227.0       1.00        -93.2
   259.5    225.0       1.00        -92.7
   259.4    223.0       1.00        -91.9
   259.3    221.0       1.00        -90.8
   259.3    219.0       1.00        -88.9
   259.4    217.0       1.00        -85.3
   259.7    215.0       0.98        -73.2
   260.5    213.3       0.98        -54.7
   261.9    211.8       1.00        -44.1
   263.4    210.5       1.00        -40.9
   264.9    209.2       1.00        -39.0
   266.5    208.0       1.00        -37.6
   268.1    206.8       1.00        -36.4
   269.7    205.6       1.00        -35.2
   271.4    204.5       1.00        -33.9
   273.1    203.4       1.00        -32.4
   274.8    202.3       1.00        -30.4
   276.5    201.3       1.00        -27.4
   278.3    200.5       0.99        -19.8
   280.2    200.0       0.99         -6.6
   282.2    200.0       1.00          2.6
   284.2    200.2       1.00          5.0
   286.2    200.4       1.00          6.4
   288.2    200.6       1.00          7.3
   290.2    200.9       1.00          8.1
   292.2    201.2       1.00          8.8
   294.2    201.5       1.00          9.5
   296.1    201.8       1.00         10.1
   298.1    202.2       1.00         10.7
   300.1    202.6       1.00         11.3
   302.0    203.0       1.00         12.0
   304.0    203.4       1.00         12.8
   305.9    203.9       1.00         13.6
   307.9    204.4       1.00         14.6
   309.8    204.9       1.00         15.8
   311.7    205.4       1.00         17.3
   313.6    206.1       1.00         19.4
   315.5    206.8       1.00         22.5
   317.3    207.6       1.00         28.2
   319.0    208.7       0.96         44.3
   320.1    210.3       0.96         71.1
   320.2    212.3       1.00         87.5
   320.2    214.3       1.00         91.4
   320.1    216.3       1.00         93.5
   320.0    218.3       1.00         94.9
   319.8    220.3       1.00         96.0
   319.6    222.3       1.00         96.8
   319.3    224.2       1.00         97.5
   319.1    226.2       1.00         98.0
   318.8    228.2       1.00         98.5
   318.5    230.2       1.00         99.0
   318.1    232.2       1.00         99.4
   317.8    234.1       1.00         99.8
   317.5    236.1       1.00        100.2
   317.1    238.1       1.00        100.5
   316.7    240.0       1.00        100.9
   316.3    242.0       1.00        101.2
   315.9    244.0       1.00        101.5
   315.5    245.9       1.00        101.9
   315.1    247.9       1.00        102.2
   314.7    249.8       1.00        102.5
   314.3    251.8       1.00        102.8
   313.8    253.7       1.00        103.2
   313.3    255.7       1.00        103.5
   312.9    257.6       1.00        103.9
   312.4    259.6       1.00        104.3
   311.9    261.5       1.00        104.6
   311.4    263.4       1.00        105.1
   310.8    265.4       1.00        105.5
   310.3    267.3       1.00        106.0
   309.7    269.2       1.00        106.6
   309.2    271.1       1.00        107.2
   308.6    273.0       1.00        107.8
   307.9    274.9       1.00        108.6
   307.3    276.8       1.00        109.5
   306.6    278.7       1.00        110.6
   305.9    280.6       1.00        112.0
   305.1    282.4       1.00        113.7
   304.3    284.2       1.00        116.0
   303.3    286.0       1.00        119.6
   302.3    287.7       1.00        125.7
   301.0    289.3       0.98        139.1
   299.3    290.3       0.98        157.8
   297.4    290.7       1.00        170.2
   295.4    291.0       1.00        175.7
   293.4    291.0       1.00        178.8
   291.4    291.0       1.00       -179.0
   289.4    291.0       1.00       -177.5
   287.4    290.9       1.00       -176.2
   285.4    290.7       1.00       -175.2
   283.4    290.5       1.00       -174.4
   281.4    290.3       1.00       -173.7
   279.4    290.1       1.00       -173.1
   277.4    289.8       1.00       -172.5
   275.5    289.6       1.00       -172.1
   273.5    289.3       1.00       -171.6
   271.5    289.0       1.00       -171.2
   269.5    288.7       1.00       -170.8
   267.5    288.4       1.00       -170.5
   265.6    288.0       1.00       -170.2
   263.6    287.7       1.00       -169.9
   261.6    287.3       1.00       -169.6
   259.7    286.9       1.00       -169.3
   257.7    286.6       1.00       -169.0
   255.7    286.2       1.00       -168.7
   253.8    285.8       1.00       -168.5
   251.8    285.4       1.00       -168.2
   249.9    285.0       1.00       -168.0
   247.9    284.5       1.00       -167.8
   245.9    284.1       1.00       -167.5
   244.0    283.7       1.00       -167.3
   242.0    283.2       1.00       -167.0
   240.1    282.8       1.00       -166.8
   238.2    282.3       1.00       -166.6
   236.2    281.9       1.00       -166.3
   234.3    281.4       1.00       -166.1
   232.3    280.9       1.00       -165.8
   230.4    280.4       1.00       -165.5
   228.4    279.9       1.00       -165.2
   226.5    279.4       1.00       -164.9
   224.6    278.9       1.00       -164.6
   222.7    278.3       1.00       -164.3
   220.7    277.8       1.00       -163.9
   218.8    277.2       1.00       -163.5
   216.9    276.6       1.00       -163.1
   215.0    276.0       1.00       -162.6
   213.1    275.4       1.00       -162.0
   211.2    274.8       1.00       -161.3
   209.3    274.2       1.00       -160.4
   207.4    273.5       1.00       -159.4
   205.5    272.7       1.00       -158.0
   203.7    272.0       1.00       -155.9
   201.9    271.1       1.00       -152.3
   200.2    270.1       0.97       -139.3
   198.9    268.6       0.98       -118.1
   198.3    266.7       1.00       -104.0
   198.0    264.7       1.00        -98.1
   197.8    262.7       1.00        -94.8
   197.6    260.7       1.00        -92.6
   197.6    258.7       1.00        -91.0
   197.6    256.7       1.00        -89.8
   197.6    254.7       1.00        -88.8
   197.6    252.7       1.00        -88.1
   197.7    250.7       1.00        -87.4
   197.8    248.7       1.00        -86.9
   197.9    246.7       1.00        -86.4
   198.1    244.7       1.00        -86.1
   198.2    242.7       1.00        -85.7
   198.4    240.7       1.00        -85.5
   198.5    238.7       1.00        -85.3
   198.7    236.7       1.00        -85.1
   198.9    234.7       1.00        -85.0
   199.1    232.7       1.00        -84.9
   199.2    230.8       1.00        -84.9
   199.4    228.8       1.00        -85.0
   199.6    226.8       1.00        -85.2
   199.7    224.8       1.00        -85.6
   199.9    222.8       1.00        -86.5
   200.0    220.8       1.00        -88.9
   200.0    218.8       1.00        -92.1
   199.8    216.8       1.00        -94.0
   199.7    214.8       1.00        -94.5
   199.5    212.8       1.00        -94.6
   199.4    210.8       1.00        -94.5
   199.2    208.8       1.00        -94.2
   199.1    206.8       1.00        -93.8
   198.9    204.8       1.00        -93.3
   198.8    202.8       1.00        -92.5
   198.8    200.8       1.00        -91.6
   198.7    198.8       1.00        -90.3
   198.7    196.8       1.00        -88.5
   198.8    194.8       1.00        -85.6
   199.1    192.8       1.00        -80.0
   199.5    190.9       0.98        -66.5
   200.6    189.2       1.00        -53.3
   201.9    187.7       1.00        -49.4
   203.2    186.2       1.00        -48.4
   204.6    184.7       1.00        -47.7
   205.9    183.2       1.00        -47.1
   207.3    181.8       1.00        -46.7
   208.7    180.3       1.00        -46.3
   210.0    178.9       1.00        -46.0
   211.4    177.4       1.00        -45.7
   212.8    176.0       1.00        -45.5
   214.2    174.6       1.00        -45.2
   215.7    173.2       1.00        -45.0
   217.1    171.8       1.00        -44.7
   218.5    170.3       1.00        -44.5
   219.9    168.9       1.00        -44.3
   221.4    167.6       1.00        -44.1
   222.8    166.2       1.00        -43.9
   224.3    164.8       1.00        -43.7
   225.7    163.4       1.00        -43.5
   227.2    162.0       1.00        -43.2
   228.6    160.7       1.00        -43.0
   230.1    159.3       1.00        -42.8
   231.6    157.9       1.00        -42.6
   233.0    156.6       1.00        -42.3
   234.5    155.2       1.00        -42.1
   236.0    153.9       1.00        -41.8
   237.5    152.6       1.00        -41.5
   239.0    151.3       1.00        -41.2
   240.5    149.9       1.00        -40.9
   242.0    148.6       1.00        -40.6
   243.5    147.3       1.00        -40.3
   245.1    146.0       1.00        -39.9
   246.6    144.8       1.00        -39.5
   248.2    143.5       1.00        -39.0
   249.7    142.3       1.00        -38.5
   251.3    141.0       1.00        -38.0
   252.9    139.8       1.00        -37.3
   254.5    138.6       1.00        -36.6
   256.1    137.4       1.00        -35.8
   257.7    136.2       1.00        -34.8
   259.4    135.1       1.00        -33.6
   261.1    134.0       1.00        -32.1
   262.8    133.0       1.00        -30.2
   264.5    132.0       1.00        -27.6
   266.3    131.1       1.00        -23.6
   268.2    130.4       1.00        -16.8
   270.1    130.0       0.99         -7.3
   272.1    129.9       1.00          0.1
   274.1    130.0       1.00          3.7
   276.1    130.2       1.00          5.9
   278.1    130.4       1.00          7.4
   280.1    130.7       1.00          8.6
   282.1    131.0       1.00          9.5
   284.0    131.3       1.00         10.3
   286.0    131.7       1.00         11.0
   288.0    132.1       1.00         11.6
   289.9    132.5       1.00         12.1
   291.9    132.9       1.00         12.5
   293.8    133.4       1.00         12.9
   295.8    133.8       1.00         13.3
   297.7    134.3       1.00         13.7
   299.7    134.8       1.00         14.0
   301.6    135.3       1.00         14.4
   303.5    135.8       1.00         14.7
   305.5    136.3       1.00         15.0
   307.4    136.8       1.00         15.3
   309.3    137.3       1.00         15.5
   311.3    137.9       1.00         15.8
   313.2    138.4       1.00         16.1
   315.1    139.0       1.00         16.3
   317.0    139.6       1.00         16.6
   318.9    140.1       1.00         16.8
   320.9    140.7       1.00         17.1
   322.8    141.3       1.00         17.4
   324.7    141.9       1.00         17.6
   326.6    142.5       1.00         17.9
   328.5    143.1       1.00         18.1
   330.4    143.8       1.00         18.4
   332.3    144.4       1.00         18.7
   334.2    145.1       1.00         19.0
   336.1    145.7       1.00         19.3
   337.9    146.4       1.00         19.6
   339.8    147.0       1.00         19.9
   341.7    147.7       1.00         20.2
   343.6    148.4       1.00         20.5
   345.5    149.1       1.00         20.9
   347.3    149.9       1.00         21.3
   349.2    150.6       1.00         21.7
   351.0    151.3       1.00         22.1
   352.9    152.1       1.00         22.5
   354.7    152.9       1.00         23.0
   356.6    153.7       1.00         23.6
   358.4    154.5       1.00         24.2
   360.2    155.3       1.00         24.8
   362.0    156.1       1.00         25.5
   363.8    157.0       1.00         26.3
   365.6    157.9       1.00         27.3
   367.4    158.9       1.00         28.4
   369.1    159.8       1.00         29.7
   370.9    160.8       1.00         31.2
   372.6    161.9       1.00         33.2
   374.2    163.0       1.00         35.7
   375.8    164.2       1.00         39.3
   377.3    165.6       1.00         44.5
   378.7    167.0       0.99         53.4
   379.7    168.7       0.98         69.4
   380.0    170.7       0.99         85.1
   380.0    172.7       1.00         92.0
   379.9    174.7       1.00         94.9
   379.7    176.7       1.00         96.9
   379.4    178.7       1.00         98.3
   379.1    180.7       1.00         99.4
   378.8    182.6       1.00        100.4
   378.4    184.6       1.00        101.1
   378.0    186.5       1.00        101.8
   377.6    188.5       1.00        102.3
   377.1    190.5       1.00        102.8
   376.7    192.4       1.00        103.3
   376.2    194.4       1.00        103.7
   375.7    196.3       1.00        104.0
   375.2    198.2       1.00        104.4
   374.7    200.2       1.00        104.7
   374.2    202.1       1.00        104.9
   373.7    204.0       1.00        105.2
   373.2    206.0       1.00        105.5
   372.6    207.9       1.00        105.7
   372.1    209.8       1.00        105.9
   371.6    211.7       1.00        106.1
   371.0    213.7       1.00        106.3
   370.4    215.6       1.00        106.5
   369.9    217.5       1.00        106.7
   369.3    219.4       1.00        106.8
   368.7    221.3       1.00        107.0
   368.1    223.2       1.00        107.2
   367.5    225.2       1.00        107.3
   366.9    227.1       1.00        107.5
   366.3    229.0       1.00        107.6
   365.7    230.9       1.00        107.7
   365.1    232.8       1.00        107.9
   364.5    234.7       1.00        108.0
   363.9    236.6       1.00        108.1
   363.2    238.5       1.00        108.3
   362.6    240.4       1.00        108.4
   362.0    242.3       1.00        108.5
