       X        Y   Velocity Heading(deg)
    60.0    270.0       1.00         35.6
    61.6    271.2       1.00         35.8
    63.2    272.3       1.00         36.2
    64.9    273.5       1.00         36.5
    66.5    274.7       1.00         36.8
    68.1    275.9       1.00         37.0
    69.7    277.1       1.00         37.1
    71.3    278.3       1.00         37.3
    72.9    279.6       1.00         37.4
    74.4    280.8       1.00         37.5
    76.0    282.0       1.00         37.6
    77.6    283.2       1.00         37.7
    79.2    284.5       1.00         37.8
    80.8    285.7       1.00         37.8
    82.4    286.9       1.00         37.9
    83.9    288.1       1.00         37.9
    85.5    289.4       1.00         38.0
    87.1    290.6       1.00         38.0
    88.7    291.8       1.00         38.1
    90.3    293.1       1.00         38.1
    91.8    294.3       1.00         38.1
    93.4    295.6       1.00         38.2
    95.0    296.8       1.00         38.2
    96.6    298.0       1.00         38.2
    98.1    299.3       1.00         38.2
    99.7    300.5       1.00         38.2
   101.3    301.7       1.00         38.3
   102.9    303.0       1.00         38.3
   104.4    304.2       1.00         38.3
   106.0    305.5       1.00         38.3
   107.6    306.7       1.00         38.3
   109.1    308.0       1.00         38.3
   110.7    309.2       1.00         38.3
   112.3    310.4       1.00         38.3
   113.9    311.7       1.00         38.3
   115.4    312.9       1.00         38.3
   117.0    314.2       1.00         38.3
   118.6    315.4       1.00         38.3
   120.1    316.6       1.00         38.3
   121.7    317.9       1.00         38.3
   123.3    319.1       1.00         38.3
   124.9    320.4       1.00         38.3
   126.4    321.6       1.00         38.3
   128.0    322.8       1.00         38.3
   129.6    324.1       1.00         38.2
   131.2    325.3       1.00         38.2
   132.7    326.6       1.00         38.2
   134.3    327.8       1.00         38.2
   135.9    329.0       1.00         38.2
   137.4    330.3       1.00         38.2
   139.0    331.5       1.00         38.2
   140.6    332.8       1.00         38.2
   142.2    334.0       1.00         38.1
   143.7    335.2       1.00         38.1
   145.3    336.5       1.00         38.1
   146.9    337.7       1.00         38.1
   148.5    338.9       1.00         38.1
   150.1    340.2       1.00         38.0
   151.6    341.4       1.00         38.0
   153.2    342.6       1.00         38.0
   154.8    343.9       1.00         38.0
   156.4    345.1       1.00         38.0
   157.9    346.3       1.00         37.9
   159.5    347.6       1.00         37.9
   161.1    348.8       1.00         37.9
   162.7    350.0       1.00         37.9
   164.3    351.3       1.00         37.8
   165.9    352.5       1.00         37.8
   167.4    353.7       1.00         37.8
   169.0    354.9       1.00         37.7
   170.6    356.2       1.00         37.7
   172.2    357.4       1.00         37.7
   173.8    358.6       1.00         37.6
   175.4    359.8       1.00         37.6
   176.9    361.1       1.00         37.6
   178.5    362.3       1.00         37.5
   180.1    363.5       1.00         37.5
   181.7    364.7       1.00         37.5
   183.3    365.9       1.00         37.4
   184.9    367.1       1.00         37.4
   186.5    368.4       1.00         37.3
   188.1    369.6       1.00         37.3
   189.7    370.8       1.00         37.3
   191.3    372.0       1.00         37.2
   192.9    373.2       1.00         37.2
   194.5    374.4       1.00         37.1
   196.1    375.6       1.00         37.1
   197.7    376.8       1.00         37.0
   199.3    378.0       1.00         37.0
   200.9    379.2       1.00         36.9
   202.5    380.4       1.00         36.8
   204.1    381.6       1.00         36.8
   205.7    382.8       1.00         36.7
   207.3    384.0       1.00         36.7
   208.9    385.2       1.00         36.6
   210.5    386.4       1.00         36.5
   212.1    387.6       1.00         36.5
   213.7    388.8       1.00         36.4
   215.3    390.0       1.00         36.3
   216.9    391.2       1.00         36.3
   218.6    392.4       1.00         36.2
   220.2    393.6       1.00         36.1
   221.8    394.7       1.00         36.0
   223.4    395.9       1.00         35.9
   225.0    397.1       1.00         35.9
   226.7    398.3       1.00         35.8
   228.3    399.4       1.00         35.7
   229.9    400.6       1.00         35.6
   231.5    401.8       1.00         35.5
   233.2    402.9       1.00         35.4
   234.8    404.1       1.00         35.3
   236.4    405.2       1.00         35.1
   238.1    406.4       1.00         35.0
   239.7    407.5       1.00         34.9
   241.4    408.7       1.00         34.8
   243.0    409.8       1.00         34.6
   244.7    410.9       1.00         34.5
   246.3    412.1       1.00         34.3
   248.0    413.2       1.00         34.2
   249.6    414.3       1.00         34.0
   251.3    415.5       1.00         33.8
   253.0    416.6       1.00         33.7
   254.6    417.7       1.00         33.5
   256.3    418.8       1.00         33.2
   258.0    419.9       1.00         33.0
   259.7    421.0       1.00         32.8
   261.3    422.0       1.00         32.5
   263.0    423.1       1.00         32.3
   264.7    424.2       1.00         32.0
   266.4    425.2       1.00         31.7
   268.1    426.3       1.00         31.3
   269.9    427.3       1.00         31.0
   271.6    428.3       1.00         30.5
   273.3    429.3       1.00         30.1
   275.0    430.3       1.00         29.6
   276.8    431.3       1.00         29.1
   278.5    432.3       1.00         28.5
   280.3    433.2       1.00         27.8
   282.1    434.2       1.00         27.0
   283.9    435.1       1.00         26.1
   285.7    435.9       1.00         25.0
   287.5    436.7       1.00         23.7
   289.4    437.5       1.00         22.1
   291.2    438.3       1.00         20.1
   293.1    438.9       1.00         17.5
   295.0    439.5       1.00         13.9
   297.0    439.9       1.00          8.4
   299.0    440.0       0.99         -1.6
   301.0    439.8       0.97        -21.0
   302.6    438.7       0.99        -41.4
   303.9    437.1       1.00        -53.3
   305.0    435.5       1.00        -60.0
   305.9    433.7       1.00        -64.3
   306.7    431.8       1.00        -67.2
   307.5    430.0       1.00        -69.4
   308.2    428.1       1.00        -71.1
   308.8    426.2       1.00        -72.4
   309.4    424.3       1.00        -73.6
   309.9    422.3       1.00        -74.5
   310.4    420.4       1.00        -75.3
   310.9    418.5       1.00        -75.9
   311.4    416.5       1.00        -76.5
   311.9    414.6       1.00        -77.0
   312.3    412.6       1.00        -77.5
   312.7    410.7       1.00        -77.9
   313.1    408.7       1.00        -78.3
   313.5    406.7       1.00        -78.6
   313.9    404.8       1.00        -78.9
   314.3    402.8       1.00        -79.2
   314.7    400.8       1.00        -79.4
   315.1    398.9       1.00        -79.6
   315.4    396.9       1.00        -79.8
   315.8    394.9       1.00        -80.0
   316.1    393.0       1.00        -80.2
   316.4    391.0       1.00        -80.4
   316.8    389.0       1.00        -80.5
   317.1    387.0       1.00        -80.6
   317.4    385.1       1.00        -80.8
   317.7    383.1       1.00        -80.9
   318.1    381.1       1.00        -81.0
   318.4    379.1       1.00        -81.1
   318.7    377.1       1.00        -81.2
   319.0    375.2       1.00        -81.2
   319.3    373.2       1.00        -81.3
   319.6    371.2       1.00        -81.4
   319.9    369.2       1.00        -81.4
   320.2    367.2       1.00        -81.5
   320.5    365.3       1.00        -81.5
   320.8    363.3       1.00        -81.5
   321.1    361.3       1.00        -81.6
   321.4    359.3       1.00        -81.6
   321.7    357.3       1.00        -81.6
   322.0    355.4       1.00        -81.6
   322.2    353.4       1.00        -81.7
   322.5    351.4       1.00        -81.7
   322.8    349.4       1.00        -81.7
   323.1    347.4       1.00        -81.7
   323.4    345.4       1.00        -81.7
   323.7    343.5       1.00        -81.6
   324.0    341.5       1.00        -81.6
   324.3    339.5       1.00        -81.6
   324.6    337.5       1.00        -81.6
   324.9    335.5       1.00        -81.5
   325.2    333.6       1.00        -81.5
   325.5    331.6       1.00        -81.5
   325.8    329.6       1.00        -81.4
   326.1    327.6       1.00        -81.4
   326.4    325.6       1.00        -81.3
   326.7    323.7       1.00        -81.3
   327.0    321.7       1.00        -81.2
   327.3    319.7       1.00        -81.1
   327.6    317.7       1.00        -81.0
   327.9    315.7       1.00        -81.0
   328.2    313.8       1.00        -80.9
   328.5    311.8       1.00        -80.8
   328.9    309.8       1.00        -80.7
   329.2    307.8       1.00        -80.6
   329.5    305.9       1.00        -80.4
   329.9    303.9       1.00        -80.3
   330.2    301.9       1.00        -80.2
   330.5    299.9       1.00        -80.0
   330.9    298.0       1.00        -79.9
   331.2    296.0       1.00        -79.7
   331.6    294.0       1.00        -79.5
   332.0    292.1       1.00        -79.3
   332.3    290.1       1.00        -79.1
   332.7    288.1       1.00        -78.9
   333.1    286.2       1.00        -78.7
   333.5    284.2       1.00        -78.4
   333.9    282.2       1.00        -78.2
   334.3    280.3       1.00        -77.9
   334.8    278.3       1.00        -77.6
   335.2    276.4       1.00        -77.2
   335.6    274.4       1.00        -76.8
   336.1    272.5       1.00        -76.4
   336.6    270.5       1.00        -76.0
   337.1    268.6       1.00        -75.5
   337.6    266.6       1.00        -75.0
   338.1    264.7       1.00        -74.4
   338.7    262.8       1.00        -73.7
   339.2    260.9       1.00        -73.0
   339.8    258.9       1.00        -72.2
   340.5    257.0       1.00        -71.2
   341.1    255.2       1.00        -70.1
   341.8    253.3       1.00        -68.9
   342.6    251.4       1.00        -67.3
   343.4    249.6       1.00        -65.5
   344.2    247.8       1.00        -63.3
   345.2    246.0       1.00        -60.5
   346.2    244.3       1.00        -56.8
   347.4    242.7       1.00        -51.7
   348.7    241.1       1.00        -44.6
   350.2    239.8       1.00        -37.7
   351.8    238.7       1.00        -33.9
   353.5    237.6       1.00        -32.1
   355.2    236.6       1.00        -30.6
   357.0    235.6       1.00        -29.4
   358.7    234.6       1.00        -28.3
   360.5    233.7       1.00        -27.4
   362.3    232.8       1.00        -26.6
   364.1    231.9       1.00        -25.9
   365.9    231.0       1.00        -25.2
   367.7    230.2       1.00        -24.7
   369.5    229.3       1.00        -24.1
   371.4    228.5       1.00        -23.7
   373.2    227.7       1.00        -23.2
   375.0    227.0       1.00        -22.8
   376.9    226.2       1.00        -22.5
   378.7    225.4       1.00        -22.1
   380.6    224.7       1.00        -21.8
   382.5    223.9       1.00        -21.5
