       X        Y   Velocity Heading(deg)
   440.0    600.0       1.00        -54.9
   441.2    598.4       1.00        -54.7
   442.3    596.7       1.00        -54.2
   443.5    595.1       1.00        -53.9
   444.7    593.5       1.00        -53.6
   445.9    591.9       1.00        -53.5
   447.1    590.3       1.00        -53.3
   448.3    588.7       1.00        -53.2
   449.5    587.1       1.00        -53.1
   450.7    585.4       1.00        -53.1
   451.9    583.8       1.00        -53.0
   453.1    582.2       1.00        -53.0
   454.3    580.6       1.00        -52.9
   455.5    579.0       1.00        -52.9
   456.7    577.4       1.00        -52.9
   457.9    575.8       1.00        -52.9
   459.1    574.3       1.00        -52.8
   460.4    572.7       1.00        -52.8
   461.6    571.1       1.00        -52.8
   462.8    569.5       1.00        -52.8
   464.0    567.9       1.00        -52.8
   465.2    566.3       1.00        -52.9
   466.4    564.7       1.00        -52.9
   467.6    563.1       1.00        -52.9
   468.8    561.5       1.00        -52.9
   470.0    559.9       1.00        -52.9
   471.3    558.3       1.00        -52.9
   472.5    556.7       1.00        -53.0
   473.7    555.1       1.00        -53.0
   474.9    553.5       1.00        -53.0
   476.1    551.9       1.00        -53.1
   477.3    550.2       1.00        -53.1
   478.5    548.6       1.00        -53.1
   479.7    547.0       1.00        -53.2
   480.9    545.4       1.00        -53.2
   482.1    543.8       1.00        -53.3
   483.3    542.2       1.00        -53.3
   484.5    540.6       1.00        -53.4
   485.7    539.0       1.00        -53.4
   486.9    537.4       1.00        -53.5
   488.1    535.8       1.00        -53.6
   489.3    534.2       1.00        -53.6
   490.4    532.5       1.00        -53.7
   491.6    530.9       1.00        -53.8
   492.8    529.3       1.00        -53.8
   494.0    527.7       1.00        -53.9
   495.2    526.1       1.00        -54.0
   496.4    524.4       1.00        -54.1
   497.5    522.8       1.00        -54.2
   498.7    521.2       1.00        -54.3
   499.9    519.6       1.00        -54.4
   501.0    517.9       1.00        -54.5
   502.2    516.3       1.00        -54.6
   503.4    514.7       1.00        -54.7
   504.5    513.0       1.00        -54.9
   505.7    511.4       1.00        -55.0
   506.8    509.7       1.00        -55.2
   508.0    508.1       1.00        -55.3
   509.1    506.4       1.00        -55.5
   510.2    504.8       1.00        -55.7
   511.4    503.1       1.00        -55.9
   512.5    501.5       1.00        -56.1
   513.6    499.8       1.00        -56.3
   514.7    498.1       1.00        -56.5
   515.8    496.5       1.00        -56.8
   516.9    494.8       1.00        -57.1
   518.0    493.1       1.00        -57.4
   519.1    491.4       1.00        -57.8
   520.1    489.7       1.00        -58.2
   521.2    488.0       1.00        -58.7
   522.2    486.3       1.00        -59.2
   523.2    484.5       1.00        -59.8
   524.2    482.8       1.00        -60.5
   525.2    481.0       1.00        -61.4
   526.2    479.3       1.00        -62.4
   527.1    477.5       1.00        -63.7
   527.9    475.7       1.00        -65.5
   528.7    473.8       1.00        -67.9
   529.4    472.0       1.00        -71.7
   530.0    470.0       0.98        -84.0
   529.8    468.1       0.98       -104.2
   529.0    466.2       1.00       -118.6
   527.9    464.6       1.00       -125.4
   526.7    463.0       1.00       -129.3
   525.4    461.5       1.00       -132.0
   524.0    460.0       1.00       -133.8
   522.6    458.6       1.00       -135.2
   521.2    457.2       1.00       -136.3
   519.7    455.8       1.00       -137.2
   518.2    454.4       1.00       -137.9
   516.7    453.1       1.00       -138.5
   515.2    451.8       1.00       -139.0
   513.7    450.5       1.00       -139.4
   512.2    449.2       1.00       -139.7
   510.7    447.9       1.00       -140.0
   509.1    446.6       1.00       -140.2
   507.6    445.3       1.00       -140.3
   506.0    444.0       1.00       -140.5
   504.5    442.7       1.00       -140.5
   502.9    441.5       1.00       -140.6
   501.4    440.2       1.00       -140.6
   499.8    438.9       1.00       -140.5
   498.3    437.6       1.00       -140.4
   496.7    436.4       1.00       -140.3
   495.2    435.1       1.00       -140.0
   493.7    433.8       1.00       -139.8
   492.1    432.5       1.00       -139.4
   490.6    431.2       1.00       -138.9
   489.1    429.9       1.00       -138.3
   487.6    428.5       1.00       -137.6
   486.2    427.2       1.00       -136.5
   484.7    425.8       1.00       -135.1
   483.3    424.3       1.00       -133.1
   482.0    422.8       1.00       -129.8
   480.8    421.2       1.00       -123.8
   479.8    419.5       1.00       -117.9
   478.9    417.7       1.00       -115.8
   478.0    415.9       1.00       -115.3
   477.2    414.1       1.00       -115.0
   476.3    412.3       1.00       -114.6
   475.5    410.4       1.00       -114.4
   474.7    408.6       1.00       -114.2
   473.8    406.8       1.00       -114.0
   473.0    404.9       1.00       -113.8
   472.2    403.1       1.00       -113.6
   471.4    401.3       1.00       -113.5
   470.6    399.4       1.00       -113.4
   469.8    397.6       1.00       -113.2
   469.0    395.7       1.00       -113.1
   468.3    393.9       1.00       -113.0
   467.5    392.0       1.00       -112.9
   466.7    390.2       1.00       -112.9
   465.9    388.4       1.00       -112.8
   465.1    386.5       1.00       -112.7
   464.4    384.6       1.00       -112.6
   463.6    382.8       1.00       -112.6
   462.8    380.9       1.00       -112.5
   462.1    379.1       1.00       -112.5
   461.3    377.2       1.00       -112.4
   460.5    375.4       1.00       -112.3
   459.8    373.5       1.00       -112.3
   459.0    371.7       1.00       -112.3
   458.3    369.8       1.00       -112.2
   457.5    368.0       1.00       -112.2
   456.7    366.1       1.00       -112.1
   456.0    364.2       1.00       -112.1
   455.2    362.4       1.00       -112.1
   454.5    360.5       1.00       -112.0
   453.7    358.7       1.00       -112.0
   453.0    356.8       1.00       -112.0
   452.2    354.9       1.00       -111.9
   451.5    353.1       1.00       -111.9
   450.7    351.2       1.00       -111.9
   450.0    349.4       1.00       -111.8
   449.2    347.5       1.00       -111.8
   448.5    345.6       1.00       -111.8
   447.8    343.8       1.00       -111.8
   447.0    341.9       1.00       -111.7
   446.3    340.1       1.00       -111.7
   445.5    338.2       1.00       -111.7
   444.8    336.3       1.00       -111.7
   444.0    334.5       1.00       -111.6
   443.3    332.6       1.00       -111.6
   442.6    330.7       1.00       -111.6
   441.8    328.9       1.00       -111.6
   441.1    327.0       1.00       -111.6
   440.4    325.1       1.00       -111.6
   439.6    323.3       1.00       -111.5
   438.9    321.4       1.00       -111.5
   438.1    319.5       1.00       -111.5
   437.4    317.7       1.00       -111.5
   436.7    315.8       1.00       -111.5
   435.9    313.9       1.00       -111.5
   435.2    312.1       1.00       -111.4
   434.5    310.2       1.00       -111.4
   433.7    308.3       1.00       -111.4
   433.0    306.5       1.00       -111.4
   432.3    304.6       1.00       -111.4
   431.5    302.7       1.00       -111.4
   430.8    300.9       1.00       -111.4
   430.1    299.0       1.00       -111.4
   429.4    297.1       1.00       -111.3
   428.6    295.3       1.00       -111.3
   427.9    293.4       1.00       -111.3
   427.2    291.5       1.00       -111.3
   426.4    289.7       1.00       -111.3
   425.7    287.8       1.00       -111.3
   425.0    285.9       1.00       -111.3
   424.3    284.1       1.00       -111.3
   423.5    282.2       1.00       -111.3
   422.8    280.3       1.00       -111.3
   422.1    278.4       1.00       -111.2
   421.3    276.6       1.00       -111.2
   420.6    274.7       1.00       -111.2
   419.9    272.8       1.00       -111.2
   419.2    271.0       1.00       -111.2
   418.4    269.1       1.00       -111.2
   417.7    267.2       1.00       -111.2
   417.0    265.4       1.00       -111.2
   416.3    263.5       1.00       -111.2
   415.5    261.6       1.00       -111.2
   414.8    259.7       1.00       -111.2
   414.1    257.9       1.00       -111.2
   413.4    256.0       1.00       -111.2
   412.6    254.1       1.00       -111.2
   411.9    252.3       1.00       -111.1
   411.2    250.4       1.00       -111.1
   410.5    248.5       1.00       -111.1
   409.8    246.7       1.00       -111.1
   409.0    244.8       1.00       -111.1
   408.3    242.9       1.00       -111.1
   407.6    241.0       1.00       -111.1
   406.9    239.2       1.00       -111.1
   406.1    237.3       1.00       -111.1
   405.4    235.4       1.00       -111.1
   404.7    233.6       1.00       -111.1
   404.0    231.7       1.00       -111.1
   403.2    229.8       1.00       -111.1
   402.5    227.9       1.00       -111.1
   401.8    226.1       1.00       -111.1
   401.1    224.2       1.00       -111.1
   400.4    222.3       1.00       -111.1
   399.6    220.5       1.00       -111.1
   398.9    218.6       1.00       -111.1
   398.2    216.7       1.00       -111.1
   397.5    214.9       1.00       -111.1
   396.7    213.0       1.00       -111.1
   396.0    211.1       1.00       -111.1
   395.3    209.2       1.00       -111.1
   394.6    207.4       1.00       -111.1
   393.9    205.5       1.00       -111.1
   393.1    203.6       1.00       -111.1
   392.4    201.8       1.00       -111.2
   391.7    199.9       1.00       -111.2
   391.0    198.0       1.00       -111.2
   390.2    196.1       1.00       -111.2
   389.5    194.3       1.00       -111.2
   388.8    192.4       1.00       -111.2
   388.1    190.5       1.00       -111.2
   387.3    188.7       1.00       -111.3
   386.6    186.8       1.00       -111.3
   385.9    184.9       1.00       -111.3
   385.1    183.1       1.00       -111.3
   384.4    181.2       1.00       -111.4
   383.7    179.3       1.00       -111.4
   383.0    177.5       1.00       -111.5
   382.2    175.6       1.00       -111.5
   381.5    173.7       1.00       -111.6
   380.7    171.9       1.00       -111.7
   380.0    170.0       1.00       -111.7
