       X        Y   Velocity Heading(deg)
   284.0    410.0       1.00         90.0
   284.0    412.0       1.00         90.0
   284.0    414.0       1.00         90.0
   284.0    416.0       1.00         90.0
   284.0    418.0       1.00         90.0
   284.0    420.0       1.00         90.0
   284.0    422.0       1.00         90.0
   284.0    424.0       1.00         90.0
   284.0    426.0       1.00         90.0
   284.0    428.1       1.00         90.0
   284.0    430.1       1.00         90.0
   284.0    432.1       1.00         90.0
   284.0    434.1       1.00         90.0
   284.0    436.1       1.00         90.0
   284.0    438.1       1.00         90.0
   284.0    440.1       1.00         90.0
   284.0    442.1       1.00         90.0
   284.0    444.1       1.00         90.0
   284.0    446.1       1.00         90.0
   284.0    448.1       1.00         90.0
   284.0    450.1       1.00         90.0
   284.0    452.1       1.00         90.0
   284.0    454.1       1.00         90.0
   284.0    456.1       1.00         90.0
   284.0    458.1       1.00         90.0
   284.0    460.1       1.00         90.0
   284.0    462.1       1.00         90.0
   284.0    464.2       1.00         90.0
   284.0    466.2       1.00         90.0
   284.0    468.2       1.00         90.0
   284.0    470.2       1.00         90.0
   284.0    472.2       1.00         90.0
   284.0    474.2       1.00         90.0
   284.0    476.2       1.00         90.0
   284.0    478.2       1.00         90.0
   284.0    480.2       1.00         90.0
   284.0    482.2       1.00         90.0
   284.0    484.2       1.00         90.0
   284.0    486.2       1.00         90.0
   284.0    488.2       1.00         90.0
   284.0    490.2       1.00         90.0
   284.0    492.2       1.00         90.0
   284.0    494.2       1.00         90.0
   284.0    496.2       1.00         90.0
   284.0    498.2       1.00         90.0
   284.0    500.3       1.00         90.0
   284.0    502.3       1.00         90.0
   284.0    504.3       1.00         90.0
   284.0    506.3       1.00         90.0
   284.0    508.3       1.00         90.0
   284.0    510.3       1.00         90.0
   284.0    512.3       1.00         90.0
   284.0    514.3       1.00         90.0
   284.0    516.3       1.00         90.0
   284.0    518.3       1.00         90.0
   284.0    520.3       1.00         90.0
   284.0    522.3       1.00         90.0
   284.0    524.3       1.00         90.0
   284.0    526.3       1.00         90.0
   284.0    528.3       1.00         90.0
   284.0    530.3       1.00         90.0
   284.0    532.3       1.00         90.0
   284.0    534.3       1.00         90.0
   284.0    536.4       1.00         90.0
   284.0    538.4       1.00         90.0
   284.0    540.4       1.00         90.0
   284.0    542.4       1.00         90.0
   284.0    544.4       1.00         90.0
   284.0    546.4       1.00         90.0
   284.0    548.4       1.00         90.0
   284.0    550.4       1.00         90.0
   284.0    552.4       1.00         90.0
   284.0    554.4       1.00         90.0
   284.0    556.4       1.00         90.0
   284.0    558.4       1.00         90.0
   284.0    560.4       1.00         90.0
   284.0    562.4       1.00         90.0
   284.0    564.4       1.00         90.0
   284.0    566.4       1.00         90.0
   284.0    568.4       0.91         90.6
   284.0    570.1       0.10       -115.7
   283.8    568.1       1.00        -93.4
   283.7    566.1       1.00        -92.9
   283.6    564.1       1.00        -92.6
   283.5    562.1       1.00        -92.5
   283.5    560.1       1.00        -92.3
   283.4    558.1       1.00        -92.2
   283.3    556.1       1.00        -92.1
   283.2    554.1       1.00        -91.9
   283.2    552.1       1.00        -91.8
   283.1    550.0       1.00        -91.7
   283.1    548.0       1.00        -91.5
   283.0    546.0       1.00        -91.4
   283.0    544.0       1.00        -91.3
   282.9    542.0       1.00        -91.1
   282.9    540.0       1.00        -91.0
   282.8    538.0       1.00        -90.8
   282.8    536.0       1.00        -90.6
   282.8    534.0       1.00        -90.4
   282.8    532.0       1.00        -90.2
   282.8    530.0       1.00        -89.9
   282.8    528.0       1.00        -89.6
   282.8    526.0       1.00        -89.3
   282.8    524.0       1.00        -88.9
   282.9    522.0       1.00        -88.4
   283.0    520.0       1.00        -87.8
   283.1    518.0       1.00        -87.0
   283.2    516.0       1.00        -85.8
   283.3    514.0       1.00        -84.1
   283.6    512.0       1.00        -80.6
   284.0    510.0       1.00        -73.2
   284.7    508.2       1.00        -65.5
   285.7    506.4       1.00        -61.4
   286.7    504.6       1.00        -59.2
   287.7    502.9       1.00        -57.8
   288.8    501.2       1.00        -56.7
   289.9    499.6       1.00        -55.9
   291.0    497.9       1.00        -55.2
   292.2    496.3       1.00        -54.6
   293.4    494.6       1.00        -54.1
   294.6    493.0       1.00        -53.6
   295.7    491.4       1.00        -53.2
   297.0    489.8       1.00        -52.8
   298.2    488.2       1.00        -52.4
   299.4    486.6       1.00        -52.0
   300.6    485.1       1.00        -51.6
   301.9    483.5       1.00        -51.2
   303.2    481.9       1.00        -50.8
   304.4    480.4       1.00        -50.4
   305.7    478.8       1.00        -49.9
   307.0    477.3       1.00        -49.3
   308.3    475.8       1.00        -48.6
   309.7    474.3       1.00        -47.7
   311.0    472.8       1.00        -46.3
   312.4    471.4       1.00        -43.9
   313.9    470.1       0.98        -32.3
   315.8    469.3       0.99        -15.6
   317.7    469.0       1.00         -6.9
   319.7    468.8       1.00         -3.4
   321.7    468.8       1.00         -1.1
   323.7    468.7       1.00          0.7
   325.8    468.8       1.00          2.4
   327.8    468.9       1.00          4.2
   329.8    469.1       1.00          6.6
   331.7    469.4       1.00         11.0
   333.7    469.9       0.99         21.0
   335.5    470.8       1.00         29.9
   337.2    471.9       1.00         32.6
   338.8    473.0       1.00         33.9
   340.5    474.1       1.00         34.7
