       X        Y   Velocity Heading(deg)
    90.0    330.0       1.00         35.6
    91.6    331.2       1.00         35.8
    93.2    332.3       1.00         36.2
    94.9    333.5       1.00         36.5
    96.5    334.7       1.00         36.8
    98.1    335.9       1.00         37.0
    99.7    337.1       1.00         37.1
   101.3    338.3       1.00         37.3
   102.9    339.6       1.00         37.4
   104.4    340.8       1.00         37.5
   106.0    342.0       1.00         37.6
   107.6    343.2       1.00         37.7
   109.2    344.5       1.00         37.8
   110.8    345.7       1.00         37.8
   112.4    346.9       1.00         37.9
   113.9    348.1       1.00         37.9
   115.5    349.4       1.00         38.0
   117.1    350.6       1.00         38.0
   118.7    351.8       1.00         38.1
   120.3    353.1       1.00         38.1
   121.8    354.3       1.00         38.1
   123.4    355.6       1.00         38.2
   125.0    356.8       1.00         38.2
   126.6    358.0       1.00         38.2
   128.1    359.3       1.00         38.2
   129.7    360.5       1.00         38.2
   131.3    361.7       1.00         38.3
   132.9    363.0       1.00         38.3
   134.4    364.2       1.00         38.3
   136.0    365.5       1.00         38.3
   137.6    366.7       1.00         38.3
   139.1    368.0       1.00         38.3
   140.7    369.2       1.00         38.3
   142.3    370.4       1.00         38.3
   143.9    371.7       1.00         38.3
   145.4    372.9       1.00         38.3
   147.0    374.2       1.00         38.3
   148.6    375.4       1.00         38.3
   150.1    376.6       1.00         38.3
   151.7    377.9       1.00         38.3
   153.3    379.1       1.00         38.3
   154.9    380.4       1.00         38.3
   156.4    381.6       1.00         38.3
   158.0    382.8       1.00         38.3
   159.6    384.1       1.00         38.2
   161.2    385.3       1.00         38.2
   162.7    386.6       1.00         38.2
   164.3    387.8       1.00         38.2
   165.9    389.0       1.00         38.2
   167.4    390.3       1.00         38.2
   169.0    391.5       1.00         38.2
   170.6    392.8       1.00         38.2
   172.2    394.0       1.00         38.1
   173.7    395.2       1.00         38.1
   175.3    396.5       1.00         38.1
   176.9    397.7       1.00         38.1
   178.5    398.9       1.00         38.1
   180.1    400.2       1.00         38.0
   181.6    401.4       1.00         38.0
   183.2    402.6       1.00         38.0
   184.8    403.9       1.00         38.0
   186.4    405.1       1.00         38.0
   187.9    406.3       1.00         37.9
   189.5    407.6       1.00         37.9
   191.1    408.8       1.00         37.9
   192.7    410.0       1.00         37.9
   194.3    411.3       1.00         37.8
   195.9    412.5       1.00         37.8
   197.4    413.7       1.00         37.8
   199.0    414.9       1.00         37.7
   200.6    416.2       1.00         37.7
   202.2    417.4       1.00         37.7
   203.8    418.6       1.00         37.6
   205.4    419.8       1.00         37.6
   206.9    421.1       1.00         37.6
   208.5    422.3       1.00         37.5
   210.1    423.5       1.00         37.5
   211.7    424.7       1.00         37.5
   213.3    425.9       1.00         37.4
   214.9    427.1       1.00         37.4
   216.5    428.4       1.00         37.3
   218.1    429.6       1.00         37.3
   219.7    430.8       1.00         37.3
   221.3    432.0       1.00         37.2
   222.9    433.2       1.00         37.2
   224.5    434.4       1.00         37.1
   226.1    435.6       1.00         37.1
   227.7    436.8       1.00         37.0
   229.3    438.0       1.00         37.0
   230.9    439.2       1.00         36.9
   232.5    440.4       1.00         36.8
   234.1    441.6       1.00         36.8
   235.7    442.8       1.00         36.7
   237.3    444.0       1.00         36.7
   238.9    445.2       1.00         36.6
   240.5    446.4       1.00         36.5
   242.1    447.6       1.00         36.5
   243.7    448.8       1.00         36.4
   245.3    450.0       1.00         36.3
   246.9    451.2       1.00         36.3
   248.6    452.4       1.00         36.2
   250.2    453.6       1.00         36.1
   251.8    454.7       1.00         36.0
   253.4    455.9       1.00         35.9
   255.0    457.1       1.00         35.9
   256.7    458.3       1.00         35.8
   258.3    459.4       1.00         35.7
   259.9    460.6       1.00         35.6
   261.5    461.8       1.00         35.5
   263.2    462.9       1.00         35.4
   264.8    464.1       1.00         35.3
   266.4    465.2       1.00         35.1
   268.1    466.4       1.00         35.0
   269.7    467.5       1.00         34.9
   271.4    468.7       1.00         34.8
   273.0    469.8       1.00         34.6
   274.7    470.9       1.00         34.5
   276.3    472.1       1.00         34.3
   278.0    473.2       1.00         34.2
   279.6    474.3       1.00         34.0
   281.3    475.5       1.00         33.8
   283.0    476.6       1.00         33.7
   284.6    477.7       1.00         33.5
   286.3    478.8       1.00         33.2
   288.0    479.9       1.00         33.0
   289.7    481.0       1.00         32.8
   291.3    482.0       1.00         32.5
   293.0    483.1       1.00         32.3
   294.7    484.2       1.00         32.0
   296.4    485.2       1.00         31.7
   298.1    486.3       1.00         31.3
   299.9    487.3       1.00         31.0
   301.6    488.3       1.00         30.5
   303.3    489.3       1.00         30.1
   305.0    490.3       1.00         29.6
   306.8    491.3       1.00         29.1
   308.5    492.3       1.00         28.5
   310.3    493.2       1.00         27.8
   312.1    494.2       1.00         27.0
   313.9    495.1       1.00         26.1
   315.7    495.9       1.00         25.0
   317.5    496.7       1.00         23.7
   319.4    497.5       1.00         22.1
   321.2    498.3       1.00         20.1
   323.1    498.9       1.00         17.5
   325.0    499.5       1.00         13.9
   327.0    499.9       1.00          8.4
   329.0    500.0       0.99         -1.6
   331.0    499.8       0.97        -21.0
   332.6    498.7       0.99        -41.4
   333.9    497.1       1.00        -53.3
   335.0    495.5       1.00        -60.0
   335.9    493.7       1.00        -64.3
   336.7    491.8       1.00        -67.2
   337.5    490.0       1.00        -69.4
   338.2    488.1       1.00        -71.1
   338.8    486.2       1.00        -72.4
   339.4    484.3       1.00        -73.6
   339.9    482.3       1.00        -74.5
   340.4    480.4       1.00        -75.3
   340.9    478.5       1.00        -75.9
   341.4    476.5       1.00        -76.5
   341.9    474.6       1.00        -77.0
   342.3    472.6       1.00        -77.5
   342.7    470.7       1.00        -77.9
   343.1    468.7       1.00        -78.3
   343.5    466.7       1.00        -78.6
   343.9    464.8       1.00        -78.9
   344.3    462.8       1.00        -79.2
   344.7    460.8       1.00        -79.4
   345.1    458.9       1.00        -79.6
   345.4    456.9       1.00        -79.8
   345.8    454.9       1.00        -80.0
   346.1    453.0       1.00        -80.2
   346.4    451.0       1.00        -80.4
   346.8    449.0       1.00        -80.5
   347.1    447.0       1.00        -80.6
   347.4    445.1       1.00        -80.8
   347.7    443.1       1.00        -80.9
   348.1    441.1       1.00        -81.0
   348.4    439.1       1.00        -81.1
   348.7    437.1       1.00        -81.2
   349.0    435.2       1.00        -81.2
   349.3    433.2       1.00        -81.3
   349.6    431.2       1.00        -81.4
   349.9    429.2       1.00        -81.4
   350.2    427.2       1.00        -81.5
   350.5    425.3       1.00        -81.5
   350.8    423.3       1.00        -81.5
   351.1    421.3       1.00        -81.6
   351.4    419.3       1.00        -81.6
   351.7    417.3       1.00        -81.6
   352.0    415.4       1.00        -81.6
   352.2    413.4       1.00        -81.7
   352.5    411.4       1.00        -81.7
   352.8    409.4       1.00        -81.7
   353.1    407.4       1.00        -81.7
   353.4    405.4       1.00        -81.7
   353.7    403.5       1.00        -81.6
   354.0    401.5       1.00        -81.6
   354.3    399.5       1.00        -81.6
   354.6    397.5       1.00        -81.6
   354.9    395.5       1.00        -81.5
   355.2    393.6       1.00        -81.5
   355.5    391.6       1.00        -81.5
   355.8    389.6       1.00        -81.4
   356.1    387.6       1.00        -81.4
   356.4    385.6       1.00        -81.3
   356.7    383.7       1.00        -81.3
   357.0    381.7       1.00        -81.2
   357.3    379.7       1.00        -81.1
   357.6    377.7       1.00        -81.0
   357.9    375.7       1.00        -81.0
   358.2    373.8       1.00        -80.9
   358.5    371.8       1.00        -80.8
   358.9    369.8       1.00        -80.7
   359.2    367.8       1.00        -80.6
   359.5    365.9       1.00        -80.4
   359.9    363.9       1.00        -80.3
   360.2    361.9       1.00        -80.2
   360.5    359.9       1.00        -80.0
   360.9    358.0       1.00        -79.9
   361.2    356.0       1.00        -79.7
   361.6    354.0       1.00        -79.5
   362.0    352.1       1.00        -79.3
   362.3    350.1       1.00        -79.1
   362.7    348.1       1.00        -78.9
   363.1    346.2       1.00        -78.7
   363.5    344.2       1.00        -78.4
   363.9    342.2       1.00        -78.2
   364.3    340.3       1.00        -77.9
   364.8    338.3       1.00        -77.6
   365.2    336.4       1.00        -77.2
   365.6    334.4       1.00        -76.8
   366.1    332.5       1.00        -76.4
   366.6    330.5       1.00        -76.0
   367.1    328.6       1.00        -75.5
   367.6    326.6       1.00        -75.0
   368.1    324.7       1.00        -74.4
   368.7    322.8       1.00        -73.7
   369.2    320.9       1.00        -73.0
   369.8    318.9       1.00        -72.2
   370.5    317.0       1.00        -71.2
   371.1    315.2       1.00        -70.1
   371.8    313.3       1.00        -68.9
   372.6    311.4       1.00        -67.3
   373.4    309.6       1.00        -65.5
   374.2    307.8       1.00        -63.3
   375.2    306.0       1.00        -60.5
   376.2    304.3       1.00        -56.8
   377.4    302.7       1.00        -51.7
   378.7    301.1       1.00        -44.6
   380.2    299.8       1.00        -37.7
   381.8    298.7       1.00        -33.9
   383.5    297.6       1.00        -32.1
   385.2    296.6       1.00        -30.6
   387.0    295.6       1.00        -29.4
   388.7    294.6       1.00        -28.3
   390.5    293.7       1.00        -27.4
   392.3    292.8       1.00        -26.6
   394.1    291.9       1.00        -25.9
   395.9    291.0       1.00        -25.2
   397.7    290.2       1.00        -24.7
   399.5    289.3       1.00        -24.1
   401.4    288.5       1.00        -23.7
   403.2    287.7       1.00        -23.2
   405.0    287.0       1.00        -22.8
   406.9    286.2       1.00        -22.5
   408.7    285.4       1.00        -22.1
   410.6    284.7       1.00        -21.8
   412.5    283.9       1.00        -21.5
   414.3    283.2       1.00        -21.2
   416.2    282.5       1.00        -21.0
   418.1    281.8       1.00        -20.7
   419.9    281.1       1.00        -20.5
   421.8    280.4       1.00        -20.3
   423.7    279.7       1.00        -20.1
   425.6    279.0       1.00        -19.9
   427.5    278.3       1.00        -19.7
   429.4    277.6       1.00        -19.5
   431.2    277.0       1.00        -19.3
   433.1    276.3       1.00        -19.2
   435.0    275.7       1.00        -19.0
   436.9    275.0       1.00        -18.9
   438.8    274.4       1.00        -18.7
   440.7    273.7       1.00        -18.6
   442.6    273.1       1.00        -18.5
   444.5    272.5       1.00        -18.3
   446.4    271.8       1.00        -18.2
   448.3    271.2       1.00        -18.1
   450.2    270.6       1.00        -18.0
   452.1    270.0       1.00        -17.9
   454.0    269.4       1.00        -17.8
   455.9    268.7       1.00        -17.7
   457.9    268.1       1.00        -17.6
   459.8    267.5       1.00        -17.5
   461.7    266.9       1.00        -17.4
   463.6    266.3       1.00        -17.3
   465.5    265.7       1.00        -17.2
   467.4    265.2       1.00        -17.1
   469.3    264.6       1.00        -17.1
   471.2    264.0       1.00        -17.0
   473.2    263.4       1.00        -16.9
   475.1    262.8       1.00        -16.8
   477.0    262.2       1.00        -16.8
   478.9    261.7       1.00        -16.7
   480.8    261.1       1.00        -16.6
   482.8    260.5       1.00        -16.5
   484.7    259.9       1.00        -16.5
   486.6    259.4       1.00        -16.4
   488.5    258.8       1.00        -16.4
   490.4    258.2       1.00        -16.3
   492.4    257.7       1.00        -16.2
   494.3    257.1       1.00        -16.2
   496.2    256.6       1.00        -16.1
   498.1    256.0       1.00        -16.1
   500.1    255.5       1.00        -16.0
   502.0    254.9       1.00        -16.0
   503.9    254.4       1.00        -15.9
   505.8    253.8       1.00        -15.9
   507.8    253.3       1.00        -15.8
   509.7    252.7       1.00        -15.8
   511.6    252.2       1.00        -15.7
   513.5    251.6       1.00        -15.7
   515.5    251.1       1.00        -15.6
   517.4    250.5       1.00        -15.6
   519.3    250.0       1.00        -15.6
   521.3    249.5       1.00        -15.5
   523.2    248.9       1.00        -15.5
   525.1    248.4       1.00        -15.4
   527.1    247.9       1.00        -15.4
   529.0    247.3       1.00        -15.4
   530.9    246.8       1.00        -15.3
   532.8    246.3       1.00        -15.3
   534.8    245.8       1.00        -15.3
   536.7    245.2       1.00        -15.2
   538.6    244.7       1.00        -15.2
   540.6    244.2       1.00        -15.2
   542.5    243.7       1.00        -15.1
   544.4    243.1       1.00        -15.1
   546.4    242.6       1.00        -15.1
   548.3    242.1       1.00        -15.0
   550.2    241.6       1.00        -15.0
   552.2    241.1       1.00        -15.0
   554.1    240.5       1.00        -14.9
   556.1    240.0       1.00        -14.9
   558.0    239.5       1.00        -14.9
   559.9    239.0       1.00        -14.9
   561.9    238.5       1.00        -14.8
   563.8    238.0       1.00        -14.8
   565.7    237.5       1.00        -14.8
   567.7    236.9       1.00        -14.8
   569.6    236.4       1.00        -14.7
   571.5    235.9       1.00        -14.7
   573.5    235.4       1.00        -14.7
   575.4    234.9       1.00        -14.7
   577.4    234.4       1.00        -14.6
   579.3    233.9       1.00        -14.6
   581.2    233.4       1.00        -14.6
   583.2    232.9       1.00        -14.6
   585.1    232.4       1.00        -14.6
   587.1    231.9       1.00        -14.5
   589.0    231.4       1.00        -14.5
   590.9    230.9       1.00        -14.5
   592.9    230.4       1.00        -14.5
   594.8    229.9       1.00        -14.5
   596.7    229.4       1.00        -14.4
   598.7    228.9       1.00        -14.4
   600.6    228.4       1.00        -14.4
   602.6    227.9       1.00        -14.4
   604.5    227.4       1.00        -14.4
   606.4    226.9       1.00        -14.4
   608.4    226.4       1.00        -14.3
   610.3    225.9       1.00        -14.3
   612.3    225.4       1.00        -14.3
   614.2    224.9       1.00        -14.3
   616.2    224.4       1.00        -14.3
   618.1    223.9       1.00        -14.3
   620.0    223.4       1.00        -14.3
   622.0    222.9       1.00        -14.2
   623.9    222.4       1.00        -14.2
   625.9    222.0       1.00        -14.2
   627.8    221.5       1.00        -14.2
   629.7    221.0       1.00        -14.2
   631.7    220.5       1.00        -14.2
   633.6    220.0       1.00        -14.2
   635.6    219.5       1.00        -14.2
   637.5    219.0       1.00        -14.2
   639.5    218.5       1.00        -14.2
   641.4    218.0       1.00        -14.1
   643.3    217.5       1.00        -14.1
   645.3    217.0       1.00        -14.1
   647.2    216.6       1.00        -14.1
   649.2    216.1       1.00        -14.1
   651.1    215.6       1.00        -14.1
   653.0    215.1       1.00        -14.1
   655.0    214.6       1.00        -14.1
   656.9    214.1       1.00        -14.1
   658.9    213.6       1.00        -14.1
   660.8    213.1       1.00        -14.1
   662.8    212.7       1.00        -14.1
   664.7    212.2       1.00        -14.1
   666.6    211.7       1.00        -14.1
   668.6    211.2       1.00        -14.1
   670.5    210.7       1.00        -14.1
   672.5    210.2       1.00        -14.1
   674.4    209.7       1.00        -14.1
   676.4    209.2       1.00        -14.1
   678.3    208.7       1.00        -14.1
   680.2    208.3       1.00        -14.1
   682.2    207.8       1.00        -14.1
   684.1    207.3       1.00        -14.1
   686.1    206.8       1.00        -14.1
   688.0    206.3       1.00        -14.1
   690.0    205.8       1.00        -14.2
   691.9    205.3       1.00        -14.2
   693.8    204.8       1.00        -14.2
   695.8    204.3       1.00        -14.2
   697.7    203.9       1.00        -14.2
   699.7    203.4       1.00        -14.2
   701.6    202.9       1.00        -14.2
