       X        Y   Velocity Heading(deg)
   540.0    490.0       1.00         90.2
   540.0    492.0       1.00         90.4
   540.0    494.0       1.00         90.6
   539.9    496.0       1.00         90.8
   539.9    498.0       1.00         90.9
   539.9    500.0       1.00         91.0
   539.8    502.0       1.00         91.1
   539.8    504.0       1.00         91.1
   539.8    506.0       1.00         91.2
   539.7    508.0       1.00         91.2
   539.7    510.0       1.00         91.2
   539.6    512.0       1.00         91.2
   539.6    514.0       1.00         91.2
   539.6    516.0       1.00         91.3
   539.5    518.0       1.00         91.3
   539.5    520.0       1.00         91.3
   539.4    522.0       1.00         91.3
   539.4    524.0       1.00         91.3
   539.3    526.0       1.00         91.3
   539.3    528.0       1.00         91.3
   539.2    530.0       1.00         91.3
   539.2    532.0       1.00         91.3
   539.2    534.0       1.00         91.3
   539.1    536.0       1.00         91.3
   539.1    538.0       1.00         91.2
   539.0    540.0       1.00         91.2
   539.0    542.0       1.00         91.2
   538.9    544.0       1.00         91.2
   538.9    546.0       1.00         91.2
   538.9    548.0       1.00         91.2
   538.8    550.0       1.00         91.2
   538.8    552.0       1.00         91.1
   538.7    554.0       1.00         91.1
   538.7    556.0       1.00         91.1
   538.7    558.0       1.00         91.1
   538.6    560.0       1.00         91.1
   538.6    562.0       1.00         91.0
   538.5    564.0       1.00         91.0
   538.5    566.0       1.00         91.0
   538.5    568.0       1.00         91.0
   538.4    570.0       1.00         90.9
   538.4    572.0       1.00         90.9
   538.4    574.0       1.00         90.9
   538.4    576.0       1.00         90.8
   538.3    578.0       1.00         90.8
   538.3    580.0       1.00         90.7
   538.3    582.0       1.00         90.7
   538.3    584.0       1.00         90.6
   538.2    586.0       1.00         90.6
   538.2    588.0       1.00         90.5
   538.2    590.0       1.00         90.5
   538.2    592.0       1.00         90.4
   538.2    594.0       1.00         90.3
   538.2    596.0       1.00         90.3
   538.1    598.0       1.00         90.2
   538.1    600.0       1.00         90.1
   538.1    602.0       1.00         90.0
   538.1    604.0       1.00         89.9
   538.1    606.0       1.00         89.7
   538.2    608.0       1.00         89.6
   538.2    610.0       1.00         89.4
   538.2    612.0       1.00         89.2
   538.2    614.0       1.00         89.0
   538.3    616.0       1.00         88.7
   538.3    618.0       1.00         88.3
   538.4    620.0       1.00         87.9
   538.5    622.0       1.00         87.2
   538.6    624.0       1.00         86.3
   538.7    626.0       1.00         84.7
   539.0    628.0       1.00         80.2
   539.4    629.9       0.48         31.1
   540.6    629.0       0.86        -52.5
   541.5    627.2       1.00        -64.4
   542.3    625.4       1.00        -65.9
   543.1    623.5       1.00        -66.8
   543.9    621.7       1.00        -67.3
   544.7    619.8       1.00        -67.8
   545.4    618.0       1.00        -68.1
   546.2    616.1       1.00        -68.4
   546.9    614.3       1.00        -68.6
   547.6    612.4       1.00        -68.8
   548.4    610.5       1.00        -69.0
   549.1    608.7       1.00        -69.1
   549.8    606.8       1.00        -69.3
   550.5    604.9       1.00        -69.4
   551.2    603.1       1.00        -69.5
   551.9    601.2       1.00        -69.6
   552.6    599.3       1.00        -69.7
   553.3    597.4       1.00        -69.8
   554.0    595.6       1.00        -69.9
   554.6    593.7       1.00        -70.0
   555.3    591.8       1.00        -70.1
   556.0    589.9       1.00        -70.2
   556.7    588.0       1.00        -70.2
   557.4    586.1       1.00        -70.3
   558.0    584.3       1.00        -70.4
   558.7    582.4       1.00        -70.5
   559.4    580.5       1.00        -70.5
   560.0    578.6       1.00        -70.6
   560.7    576.7       1.00        -70.6
   561.4    574.8       1.00        -70.7
   562.0    572.9       1.00        -70.8
   562.7    571.1       1.00        -70.8
   563.3    569.2       1.00        -70.9
   564.0    567.3       1.00        -71.0
   564.6    565.4       1.00        -71.0
   565.3    563.5       1.00        -71.1
