       X        Y   Velocity Heading(deg)
   199.0    193.3       1.00        -81.9
   199.4    191.4       0.98        -70.6
   200.3    189.6       0.99        -56.2
   201.6    188.1       1.00        -49.7
   202.9    186.6       1.00        -48.6
   204.2    185.1       1.00        -47.8
   205.6    183.6       1.00        -47.3
   206.9    182.1       1.00        -46.8
   208.3    180.7       1.00        -46.4
   209.7    179.2       1.00        -46.1
   211.1    177.8       1.00        -45.8
   212.5    176.4       1.00        -45.5
   213.9    174.9       1.00        -45.3
   215.3    173.5       1.00        -45.0
   216.7    172.1       1.00        -44.8
   218.1    170.7       1.00        -44.6
   219.6    169.3       1.00        -44.4
   221.0    167.9       1.00        -44.1
   222.5    166.5       1.00        -43.9
   223.9    165.1       1.00        -43.7
   225.3    163.7       1.00        -43.5
   226.8    162.4       1.00        -43.3
   228.3    161.0       1.00        -43.1
   229.7    159.6       1.00        -42.8
   231.2    158.3       1.00        -42.6
   232.7    156.9       1.00        -42.4
   234.2    155.6       1.00        -42.1
   235.6    154.2       1.00        -41.9
   237.1    152.9       1.00        -41.6
   238.6    151.6       1.00        -41.3
   240.2    150.2       1.00        -41.0
   241.7    148.9       1.00        -40.7
   243.2    147.6       1.00        -40.3
   244.7    146.3       1.00        -40.0
   246.3    145.1       1.00        -39.6
   247.8    143.8       1.00        -39.1
   249.4    142.5       1.00        -38.6
   250.9    141.3       1.00        -38.1
   252.5    140.1       1.00        -37.5
   254.1    138.9       1.00        -36.8
   255.7    137.7       1.00        -36.0
   257.4    136.5       1.00        -35.0
   259.0    135.4       1.00        -33.9
   260.7    134.3       1.00        -32.5
   262.4    133.2       1.00        -30.7
   264.1    132.2       1.00        -28.2
   265.9    131.3       1.00        -24.6
   267.8    130.6       1.00        -18.7
   269.7    130.0       0.99         -9.3
   271.7    129.9       1.00         -1.1
   273.7    130.0       1.00          3.1
   275.7    130.1       1.00          5.5
   277.7    130.3       1.00          7.1
   279.7    130.6       1.00          8.4
   281.6    130.9       1.00          9.3
   283.6    131.3       1.00         10.2
   285.6    131.6       1.00         10.8
   287.6    132.0       1.00         11.4
   289.5    132.4       1.00         12.0
   291.5    132.9       1.00         12.4
   293.4    133.3       1.00         12.9
   295.4    133.7       1.00         13.3
   297.3    134.2       1.00         13.6
   299.3    134.7       1.00         14.0
   301.2    135.2       1.00         14.3
   303.1    135.7       1.00         14.6
