[543.0, 139.0]
[545.0, 139.0]
[547.0, 138.0]
[549.0, 137.0]
[551.0, 136.0]
[553.0, 135.0]
[555.0, 135.0]
[557.0, 134.0]
[559.0, 133.0]
[561.0, 132.0]
[563.0, 132.0]
[565.0, 131.0]
[567.0, 130.0]
[569.0, 129.0]
[571.0, 129.0]
[573.0, 128.0]
[575.0, 127.0]
[577.0, 126.0]
[579.0, 126.0]
[581.0, 125.0]
[583.0, 124.0]
[585.0, 124.0]
[587.0, 123.0]
[589.0, 122.0]
[591.0, 122.0]
[593.0, 121.0]
[595.0, 120.0]
[597.0, 120.0]
[599.0, 119.0]
[601.0, 118.0]
[603.0, 118.0]
[605.0, 117.0]
[607.0, 116.0]
[609.0, 116.0]
[611.0, 115.0]
[613.0, 114.0]
[615.0, 114.0]
[617.0, 113.0]
[619.0, 113.0]
[621.0, 112.0]
[623.0, 111.0]
[625.0, 111.0]
[627.0, 110.0]
[629.0, 110.0]
[631.0, 109.0]
[633.0, 108.0]
[635.0, 108.0]
[637.0, 107.0]
[639.0, 107.0]
[641.0, 106.0]
[643.0, 105.0]
[645.0, 105.0]
[647.0, 104.0]
[649.0, 104.0]
[651.0, 103.0]
[653.0, 103.0]
[655.0, 102.0]
[657.0, 102.0]
[659.0, 101.0]
[661.0, 100.0]
[663.0, 100.0]
[665.0, 99.0]
[667.0, 99.0]
[669.0, 98.0]
[671.0, 98.0]
[673.0, 97.0]
[675.0, 97.0]
[677.0, 96.0]
[679.0, 96.0]
[681.0, 95.0]
[683.0, 95.0]
[685.0, 94.0]
[687.0, 93.0]
[689.0, 93.0]
[691.0, 92.0]
[693.0, 92.0]
[695.0, 91.0]
[697.0, 91.0]
[699.0, 90.0]
[701.0, 90.0]
[703.0, 89.0]
[705.0, 89.0]
[707.0, 88.0]
[709.0, 88.0]
[711.0, 87.0]
[713.0, 87.0]
[715.0, 86.0]
[717.0, 86.0]
[719.0, 85.0]
[721.0, 85.0]
[723.0, 84.0]
[725.0, 84.0]
[727.0, 84.0]
[729.0, 83.0]
[731.0, 83.0]
[733.0, 83.0]
[733.0, 85.0]
[734.0, 85.0]
[736.0, 83.0]
[738.0, 82.0]
[739.0, 80.0]
